id,env,ip_hash,browsers,node_type,cities,standardised_name,nb_of_households,nb_of_users,nb_of_vids
ID5*6e5dd878Xd1oiIL3uBeDJStLKYVKW_LB0Ncfk2yCFo_XUjx6BzMjlcWE8NZV9MQo,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*j2X1G6h39bEOAyqb3pwrSU3Ageks0Fqttly3_woJvuPXUhGj0iNNXYGeo6jQLIGg,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*YfZOnEbkTjbgkJEcMA-QzqNTOm7CQ-EqWM8MeOSaBWTXUk53sNssCoT4YHZJt9d1,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*ubAjRJ6iI-441vzE6En9FnsVV7YaBYzygIlhoDzcaLzXUoywZmQJ6wE_jykJ0lUC,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*BFbbcyNE29mFMATzVa8FIcbzr4Gn43TFPW-Zl4E6kIvXUtU-VuyiQlowSjMzxSWn,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*Q8-ec2TdntnCqUHzEjZAIYFq6oHgejHFevbcl8aj1YvXUlWHkj7jXRb2-0zrHmN4,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*WAVfC38XX6HZY4CLCfyBWZqgK_n7sPC9YTwd791pFPPXUp06zJxRXewtupWbZ2J0,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*-ggysd0aMht7bu0xq_Hs4zitRkNZvZ0HwzFwVX9keUnXUt18KShqxk04Y4APJFZ8,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*CYRChC6WQi6I4p0EWH2c1sshNnaqMe0yML0AYIzoCXzXUhbUZOFssxYLSjJ09ewM,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*I_yIxwTuiG2imldHcgVWleFZ_DWASSdxGsXKI6aQwz_XUut1PtEQhz9kCxJAmRxM,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*SZFCaTZzMNePF5JAEs_qoUClAuKELyjUpM32r5n13JrXUiDCq6XD8shKBnxvsbXE,web,6053283302386522973,-,User: ID5,merida,-,1.0,0.0,1.0
ID5*5QPVAJrhp74jhQUpvl19yOw3lYsovb-9CF9hxjVnS_PXUr55MDY-LgwAA3qPhbgZ,web,6053283302386522973,-,User: ID5,merida,-,1.0,0.0,1.0
ID5*NKI-qEtATBbyJO6Bb_yWYD2WfiP5HFQV2f6KbuTGoFvXUvGijN2rSMFWlNnhKW42,web,6053283302386522973,-,User: ID5,merida,-,1.0,0.0,1.0
ID5*olQ95t22T1hk0u3P-QqVLqtgfW1v6ldbTwiJIHIwoxXXUs8UfM5lm6GE0BsiJbFw,web,6053283302386522973,-,User: ID5,merida,-,1.0,0.0,1.0
ID5*NA1pPUvvG4Pyi7kUb1PB9T05Kbb5swOA2VHd--Rp987XUgXLi_u8rFDBUQ4-VDj0,web,6053283302386522973,-,User: ID5,merida,-,1.0,0.0,1.0
ID5*M9MGJEwxdJr1VdYNaI2u7DrnRq_-bWyZ3o-y4uO3mNfXUvlKyiRBRNubvqT_Vid5,web,6053283302386522973,-,User: ID5,merida,-,1.0,0.0,1.0
ID5*2N7pd6c8m8keWDleg4BBv9HqqfwVYIPKNYJdsQi6d4TXUvsClzLCQAsWuWYn_zJM,web,6053283302386522973,-,User: ID5,merida,-,1.0,0.0,1.0
ID5*KddnZatFHCpEyO_KQEKeaSf1aweaAOEUeAWQk0sdCPTXUn9pARePD71uh-dH9KML,web,4424417749892459780,-,User: ID5,ciudad del carmen,-,1.0,0.0,1.0
ID5*AB2-VoKPxRltAjb5aYhHWg4_sjSzyjgnUc9JoGLX0cfXUrxYq5tVzj1KHDX_YibF,web,4424417749892459780,-,User: ID5,ciudad del carmen,-,1.0,0.0,1.0
ID5*-d7fNXtMpHqUwVeakEsmOff801dKCVlEqAwow5sUsKTXUgGD-c1L1bHSJYEEFm9h,web,4424417749892459780,-,User: ID5,ciudad del carmen,-,1.0,0.0,1.0
ID5*QiTv5vXUZ3yXImqoP9RNtFdKHFRxTqFjrDW1L8jXH7rXUphdo3gUN9FAKwHxLvOY,web,4484898109095439303,-,User: ID5,monterrey,-,1.0,0.0,1.0
ID5*_MXXIiE39DMEA1-k1ZBpuff7R_Do5KApU08bKVEFhEfW_bcJXPp9owK1SlVZikSk,web,6716010427000040967,-,User: ID5,los mochis,-,1.0,0.0,1.0
ID5*0Kgosg1aC6MobqA0-f2WKduWuGDEiV-5fyLkuX1oe9fXUiyUem7Vc-dy4_z8xRil,web,6716010427000040967,-,User: ID5,los mochis,-,1.0,0.0,1.0
ID5*lOfW7T82bk-4-gjXuU5U3LziyV8JMWzVM4NG46-4KpnXUhQUXfGNiylAq-_eZKX6,web,6716010427000040967,-,User: ID5,los mochis,-,1.0,0.0,1.0
ID5*sU7fvRqfZx-dUwGHnOddjJlLwA8smGWFFipPs4oRI8m_K49PDFaZHBww-4Y2u7LA,web,6716010427000040967,-,User: ID5,los mochis,-,1.0,0.0,1.0
ID5*S-fwKuA2SIhn-i4QZk5yG2Pi75jWMUoS7INgJHC4DF7XUutqBwcqJmYHCDMrSXQJ,web,6716010427000040967,-,User: ID5,los mochis,-,1.0,0.0,1.0
ID5*P9lBDEWMSFSj35vfTytn3SPULNHNl7CQZcDMEMCT1fvXUpSkVvnmchb-btXQ_acB,web,2357330680900856059,-,User: ID5,zapopan,-,1.0,0.0,1.0
ID5*lhUe6JS9f05omJUa9AC_W2947lp2n8X3D-GnhDC6y53Y99RD6xExmiqWnadkdwjF12BLpOPue7E_osh3rA6sD9drC4krUmsGGq_wVLVG3KLXhv-k_3XTrYJL06nVnmzS14cfeLDct_O2NljHpmlp69eKGzgCC6k_uhDOi2CpfUfXnqnm4oMx731BODJgEWC9,web,1222098984174128412,-,User: ID5,naucalpan de juarez,-,1.0,0.0,1.0
ID5*WU4uKSffNcaNqPxuHHB6iA8LmqJ7s8RCYkVDKHx3_4_XUjHo9NAl-tBa1QOCwrCk,web,7576844463725067876,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*EFtSwm7KSS3EvYCFVWUGY0Ye5kkypripK1A_wzVig2TXUtOLszcH3kVXP7x7XeVI,web,7576844463725067876,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*6vj3W6x_UQvAd3AIyNQHlz_CrrCpBb2mZt8idW84aM_Y9wLNAVKVJVw_1PJnq5kW12D7ysFll4PxZ9JxTy7jpNdrWtcbtESJ7kvvtwCtWPjXhlEnLGjnP1Db5Kw8qK2x14f1Yj-ismOdY4iUTDRQwteKjqfdbmri5egDgFl4yfrXnv7AAYaC6re3p4CQDke2,web,829932013115021335,-,User: ID5,tepatepec,-,1.0,0.0,1.0
ID5*2oHq4cO-Rzceci9n4Ozy33LqUlQdrXHf58i_y9zKPA7U5gldJRlnw9GfX9g_qpa502L1vIcxEaSO2eqjxrajCdNox-WoekyWxiq8AcHqF_rTbrPcaeF_yjRqWZruOTM104Z7U3U5kC69UZQTvNSlXdVLRZ8SY-k3WWdP3uqpa2LTkLCB2Bnj3bBQNIwzc9Rl05vSgkIqAVzd-WhHw_B6MA,web,-8881611513805014439,-,User: ID5,puerto vallarta,-,1.0,0.0,1.0
ID5*9snlThj5xfV4zzx5g9Y4l3e3VkwWVca4_dwPv8_XRKHX_MwuxxVtQ4v5Wo9YwkMx1mGvrPvnQBl2riEO3UUWVNZsPMnmWhJjZ3sOZGnS0hPWh2yzCbi1H2ZZej9PaMjx1oherTkXXtoX7zOUbwGq3taLBYqK_iVQTjyXHaE3DQjWnxb4p1gbD9sVBm6ZPqLq,web,-4030711995947513792,-,User: ID5,san francisco,-,1.0,0.0,1.0
